"","schema","table_name","table_description","table_type","column_name","column_class","column_description","darwin_standard_core","derived_from"
"1","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","ProjectShortName","character","Short project name that data was collected for. Approximately five words in lowercase seperated by underscores.",NA,"UserInput"
"2","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","SiteID","character","Site identification. Can be camera trap location or have a nesting of substations. Project specific.","locationID","UserInput"
"3","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","SubStation","character","Nested location of camera trap within a site. Used in cases where a site has multiple camera trap deployments.","locationID","UserInput"
"4","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","Iteration","integer","Useful for multi-season surveys, this is the nth deployment iteration. If it is the first survey at a site, use 1.",NA,"UserInput"
"5","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","scientific_name","character","Scientific taxa name as per VBA","scientificName","standardise_species_names()"
"6","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","DateTimeOriginal","POSIXct, POSIXt","Date and time of photo-capture","verbatimEventDate","camtrapR"
"7","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","Date","Date","Date of photo","eventDate","camtrapR"
"8","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","Time","character","Time of photo","eventTime","camtrapR"
"9","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","delta.time.secs","numeric","Time lag between images (seconds)",NA,"camtrapR"
"10","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","delta.time.mins","numeric","Time lag between images (minutes)",NA,"camtrapR"
"11","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","delta.time.hours","numeric","Time lag between images (hours)",NA,"camtrapR"
"12","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","delta.time.days","numeric","Time lag between images (days)",NA,"camtrapR"
"13","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","Directory","character","Local directory path image was stored when metadata extracted",NA,"camtrapR"
"14","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","FileName","character","Filename of image when metadata extracted",NA,"camtrapR"
"15","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","metadata_Distance","character","Optional metadata field for distance bin (in metres)",NA,"camtrapR"
"16","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","metadata_Species","character","Metadata field for what species was used when tagging",NA,"camtrapR"
"17","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","metadata_Multiples","integer","Mandatory metadata field for number of individuals in the photo","individualCount","camtrapR"
"18","camtrap","raw_camtrap_records","Is a table that stores ALL camera trap records across projects (i.e. duplicate images allowed). This is the table where uploads are appended to.","raw","n_images","integer","Numer of images for record",NA,"camtrapR"
