Business_Id_B,Business_Name_B,Author_Id_F,Author_Name_F,Form_Id_F,Form_Name_F,File_Id_F,File_Name_F,Section_Id_F,Data_Section_Id_F,Parent_Data_Section_Id_F,Section_Id_338_H1,Data_Section_Id_338_H1,SiteID_H1,Transect_H1,Date_H1,Start_time_H1,Observer_H1...18,ObserverOther_H1,Observer_H1...20,GPS_H1,Weather_H1,Temp_C_H1,Section_Id_339_H2,Data_Section_Id_339_H2,P1 Vis_rank_H2,P2 Vis_rank_H2,P3 Vis_rank_H2,P4 Vis_rank_H2,P5 Vis_rank_H2,P6 Vis_rank_H2,End_time_H2,Notes_H2,Section_Id_340_I3,Data_Section_Id_340_I3,Animal_I3,AnimObsTime_I3,SeenHeard_I3,Species_I3,Animal_sp_other_I3,L or R of trans_I3,Waypoint no._I3,Distance to animal_I3,Bearing to A._I3,Dist_F_Transect_I3,Tree species_I3,Tree_sp_other_I3,SeenX2_I3,VBAUse_I3,Incidental_I3,Comments_I3
5,Arthur Rylah Institute,27,ARI,135,NA,114855,BBRR-F6,340,559243,0,338,559241,BBRR-6,NA,14/5/2021,18:41:21,Other,Jess Waaleboer,1,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,5,339,559242,76-100%,76-100%,76-100%,51-75%,26-50%,51-75%,19:56:46,"GPS: WU14
Tracklog: BBRR-F6-JW",340,559243,1,19:37:52,Heard,Other,Tyto sp.,Left,741,50,152,409,NA,NA,Yes,no,NA,Definitely a Tyto owl either Masked or Sooty Owl- making short screeches. Heard it multiple times from around the same area- last heard in last 20m of spotlight. Tried to have a bit of a look around for it after finishing the survey but failed to find anything.
5,Arthur Rylah Institute,27,ARI,135,NA,114855,BBRR-F6,340,559244,0,338,559241,BBRR-6,NA,14/5/2021,18:41:21,Other,Jess Waaleboer,1,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,5,339,559242,76-100%,76-100%,76-100%,51-75%,26-50%,51-75%,19:56:46,"GPS: WU14
Tracklog: BBRR-F6-JW",340,559244,2,19:41:42,Heard@-@Seen,Mountain Brush-tailed Possum,NA,Right,742,15,269,411,Dead,NA,Yes,NA,NA,Sitting low to ground on small dead branch.
5,Arthur Rylah Institute,27,ARI,135,NA,114855,BBRR-F6,340,559245,0,338,559241,BBRR-6,NA,14/5/2021,18:41:21,Other,Jess Waaleboer,1,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,5,339,559242,76-100%,76-100%,76-100%,51-75%,26-50%,51-75%,19:56:46,"GPS: WU14
Tracklog: BBRR-F6-JW",340,559245,3,19:54:44,Seen,Southern Greater Glider,NA,Left,743,75,129,500,Stringybark sp.,NA,No,NA,NA,Bkack and white- sitting mid way up very large but dead stringy bark- at a fork in the tree where there is likely a hollow burnt into the tree- tree very burnt. Marked waypoint 744 as the actually location of the glider.
5,Arthur Rylah Institute,27,ARI,135,NA,114855,BBRR-F6,340,559246,0,338,559241,BBRR-6,NA,14/5/2021,18:41:21,Other,Jess Waaleboer,1,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,5,339,559242,76-100%,76-100%,76-100%,51-75%,26-50%,51-75%,19:56:46,"GPS: WU14
Tracklog: BBRR-F6-JW",340,559246,4,20:09:47,Seen,Southern Greater Glider,NA,Left,745,15,350,NA,Eucalyptus sp,NA,Yes,NA,NA,Black and white at top of I think maybe a stringybark. Two gliders in same tree- saw after finishing the Spotlight. Ian also saw but didn't record.
5,Arthur Rylah Institute,27,ARI,135,NA,114855,BBRR-F6,340,559247,0,338,559241,BBRR-6,NA,14/5/2021,18:41:21,Other,Jess Waaleboer,1,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,5,339,559242,76-100%,76-100%,76-100%,51-75%,26-50%,51-75%,19:56:46,"GPS: WU14
Tracklog: BBRR-F6-JW",340,559247,5,20:09:47,Seen,Southern Greater Glider,NA,Left,745,15,350,NA,Eucalyptus sp,NA,No,NA,NA,Black and white at top of i think maybe a stringybark. Two gliders in same tree- saw after finishing the Spotlight. Ian also saw but didn't record.
5,Arthur Rylah Institute,679,Daniel,135,NA,114801,BBRR_F18,340,558842,0,338,558840,BBRR-18,NA,30/4/2021,21:55:01,Dan Purdey,NA,1,Other,NA,10,339,558841,NA,NA,NA,NA,NA,NA,22:45:12,NA,340,558842,1,22:15:39,Seen,Eastern Ring-tailed Possum,NA,Right,144,50,20,147,Eucalyptus spp,NA,Yes,NA,NA,NA
5,Arthur Rylah Institute,679,Daniel,135,NA,114801,BBRR_F18,340,558843,0,338,558840,BBRR-18,NA,30/4/2021,21:55:01,Dan Purdey,NA,1,Other,NA,10,339,558841,NA,NA,NA,NA,NA,NA,22:45:12,NA,340,558843,2,22:20:25,Heard,Yellow-bellied Glider,NA,Left,145,40,40,190,NA,NA,Yes,NA,NA,NA
5,Arthur Rylah Institute,27,ARI,135,NA,114607,BBRR_F6,340,558076,0,338,558074,BBRR-6,NA,14/5/2021,18:56:00,Other,Ian Bool,2,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,5,339,558075,76-100%,76-100%,76-100%,51-75%,26-50%,51-75%,20:06:59,NA,340,558076,1,19:55:15,Heard,Yellow-bellied Glider,NA,Right,433,150,235,408,NA,NA,No,NA,NA,NA
5,Arthur Rylah Institute,27,ARI,135,NA,114607,BBRR_F6,340,558077,0,338,558074,BBRR-6,NA,14/5/2021,18:56:00,Other,Ian Bool,2,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,5,339,558075,76-100%,76-100%,76-100%,51-75%,26-50%,51-75%,20:06:59,NA,340,558077,2,19:57:45,Seen,Mountain Brush-tailed Possum,NA,Right,434,10,247,411,NA,NA,Yes,NA,NA,On ground
5,Arthur Rylah Institute,27,ARI,135,NA,112657,BBRR_F4,340,549508,0,338,549506,BBRR-4,NA,30/4/2021,22:15:04,Phoebe Macak,NA,2,Thr. Sp. 4,Cloud nil or light@-@Fine@-@Vis - Dark@-@Wind nil or light,6,339,549507,76-100%,76-100%,76-100%,76-100%,76-100%,76-100%,23:30:24,NA,340,549508,1,22:30:58,Heard,Yellow-bellied Glider,NA,Left,247,30,270,100,NA,NA,No,NA,NA,NA
